#pt	w	w_err	wUp	wDown
11.000	0.038	0.047	0.000	0.082
13.000	0.199	0.079	0.126	0.272
15.000	0.113	0.039	0.077	0.149
17.000	0.232	0.045	0.192	0.272
19.000	0.614	0.040	0.580	0.649
21.000	0.777	0.030	0.753	0.802
23.000	0.805	0.025	0.786	0.824
25.000	0.900	0.025	0.882	0.918
27.000	0.868	0.023	0.853	0.883
29.000	0.911	0.024	0.898	0.924
31.000	0.979	0.026	0.968	0.991
33.000	0.990	0.028	0.982	0.998
35.000	0.931	0.027	0.928	0.934
37.000	1.017	0.032	1.018	1.015
39.000	0.988	0.033	0.992	0.984
41.000	1.043	0.037	1.050	1.037
43.000	1.036	0.039	1.046	1.027
45.000	1.125	0.045	1.138	1.111
47.000	1.084	0.047	1.101	1.067
49.000	0.948	0.044	0.966	0.930
51.000	1.143	0.058	1.170	1.117
53.000	1.003	0.055	1.031	0.976
55.000	1.300	0.077	1.341	1.258
57.000	1.177	0.075	1.220	1.134
59.000	1.314	0.088	1.368	1.261
61.000	1.261	0.093	1.320	1.202
63.000	1.331	0.106	1.402	1.261
65.000	1.347	0.119	1.430	1.265
67.000	1.749	0.164	1.866	1.632
69.000	1.325	0.130	1.421	1.229
71.000	1.494	0.161	1.616	1.371
73.000	1.503	0.185	1.646	1.359
75.000	1.537	0.198	1.694	1.379
77.000	1.546	0.208	1.714	1.377
79.000	2.113	0.319	2.376	1.849
81.000	2.734	0.479	3.136	2.333
83.000	2.347	0.454	2.733	1.961
85.000	2.691	0.497	3.120	2.262
87.000	2.853	0.629	3.402	2.303
89.000	3.696	0.954	4.539	2.853
95.000	3.065	0.388	3.417	2.713
105.000	7.243	1.080	8.257	6.229
