#pt	w	w_err	wUp	wDown
10.025	0.000	0.500	0.000	0.000
12.075	0.117	0.121	0.018	0.216
14.125	0.681	0.067	0.170	1.192
16.175	0.881	0.053	0.308	1.454
18.225	0.938	0.055	0.422	1.454
20.275	1.005	0.063	0.553	1.458
22.325	0.995	0.073	0.647	1.343
24.375	1.088	0.097	0.816	1.360
26.425	1.367	0.135	1.162	1.572
28.475	1.484	0.183	1.410	1.558
30.525	1.141	0.165	1.198	1.084
32.575	1.376	0.241	1.583	1.170
34.625	1.309	0.278	1.636	0.982
36.675	1.424	0.366	1.922	0.926
38.725	2.520	0.826	3.654	1.386
40.775	0.725	0.374	1.123	0.326
42.825	1.211	0.554	1.999	0.424
44.875	1.585	0.966	2.774	0.396
46.925	0.194	0.263	0.358	0.029
48.975	2.446	1.401	4.770	0.122
3.850	0.750	0.435	1.026	0.475
45.550	1.937	1.674	2.777	1.098
47.250	0.066	0.192	0.099	0.033
48.950	2.108	1.241	3.302	0.913
50.650	1.582	1.293	2.584	0.580
52.350	2.284	2.086	3.882	0.685
