#pt	w	w_err	wUp	wDown
9.000	0.000	0.500	0.000	0.470
11.000	0.072	0.111	0.000	0.174
13.000	0.752	0.056	0.704	0.801
15.000	0.913	0.033	0.885	0.940
17.000	0.877	0.029	0.855	0.899
19.000	0.989	0.033	0.967	1.010
21.000	0.982	0.035	0.963	1.000
23.000	1.050	0.041	1.037	1.063
25.000	1.098	0.046	1.097	1.100
27.000	1.041	0.049	1.046	1.036
29.000	1.070	0.058	1.082	1.059
31.000	1.098	0.066	1.117	1.079
33.000	1.115	0.075	1.143	1.087
35.000	1.122	0.088	1.161	1.083
37.000	1.093	0.095	1.140	1.045
39.000	1.130	0.115	1.194	1.067
41.000	1.063	0.122	1.137	0.989
43.000	1.240	0.151	1.338	1.141
45.000	1.465	0.177	1.587	1.342
47.000	0.789	0.146	0.894	0.683
49.000	0.979	0.170	1.107	0.850
51.000	1.215	0.217	1.384	1.046
53.000	1.035	0.211	1.205	0.865
55.000	2.252	0.480	2.649	1.854
57.000	1.320	0.337	1.605	1.034
59.000	1.275	0.411	1.630	0.919
62.000	1.384	0.304	1.654	1.115
66.000	0.744	0.301	1.018	0.470
70.000	1.519	0.534	2.015	1.023
74.000	3.417	0.636	4.017	2.816
