#pt	w	w_err	wUp	wDown
19.000	0.795	0.012	0.785	0.805
21.000	0.875	0.011	0.867	0.884
23.000	0.901	0.010	0.894	0.909
25.000	0.947	0.010	0.940	0.954
27.000	0.954	0.010	0.948	0.961
29.000	1.004	0.010	0.997	1.010
31.000	0.976	0.015	0.969	0.984
33.000	1.014	0.012	1.009	1.018
35.000	1.045	0.013	1.041	1.048
37.000	1.027	0.014	1.026	1.029
39.000	1.069	0.015	1.069	1.069
41.000	1.064	0.017	1.065	1.062
43.000	1.060	0.018	1.063	1.058
45.000	1.117	0.020	1.120	1.114
47.000	1.080	0.021	1.084	1.076
49.000	1.105	0.023	1.111	1.099
51.000	1.098	0.025	1.105	1.091
53.000	1.133	0.028	1.143	1.124
55.000	1.085	0.029	1.095	1.074
57.000	1.098	0.031	1.110	1.085
59.000	1.083	0.033	1.097	1.068
61.000	1.093	0.035	1.110	1.077
63.000	1.198	0.042	1.219	1.178
65.000	1.155	0.044	1.178	1.132
67.000	1.105	0.044	1.129	1.081
69.000	1.142	0.050	1.171	1.114
71.000	1.106	0.050	1.136	1.075
73.000	1.063	0.050	1.094	1.032
75.000	1.139	0.059	1.177	1.101
77.000	1.107	0.062	1.148	1.066
79.000	1.140	0.068	1.187	1.094
81.000	1.239	0.079	1.294	1.184
83.000	1.221	0.082	1.279	1.162
85.000	1.168	0.084	1.229	1.107
87.000	1.261	0.092	1.329	1.192
89.000	1.233	0.100	1.309	1.158
95.000	1.257	0.052	1.298	1.216
105.000	1.182	0.037	1.214	1.151
