#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
317087:6738,05/29/18 02:15:38,340,340,0.105226180,0.101232388
317089:6738,05/29/18 04:46:51,998,998,0.220036453,0.212719996
317182:6741,05/30/18 12:17:59,905,905,0.244501152,0.237203298
317213:6744,05/31/18 05:29:39,93,93,0.030373422,0.029210472
317279:6747,05/31/18 17:11:10,463,463,0.067922276,0.065514690
317291:6749,06/01/18 06:10:03,282,282,0.088964554,0.086760587
317292:6749,06/01/18 08:08:05,328,328,0.087110185,0.084592639
317297:6749,06/01/18 11:36:31,627,627,0.112826033,0.109518399
317320:6751,06/01/18 22:52:43,1478,1478,0.349530211,0.337540667
317340:6752,06/02/18 14:05:02,142,142,0.046492249,0.043472837
317392:6757,06/04/18 06:46:39,1383,1383,0.315320530,0.306444402
317435:6759,06/05/18 01:38:22,1145,1145,0.288167382,0.278481509
317438:6759,06/05/18 09:20:20,307,307,0.051746867,0.049709578
317484:6761,06/05/18 20:47:15,379,379,0.115200473,0.111463486
317488:6761,06/05/18 23:26:30,844,844,0.186916038,0.181128073
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#10,15,9714,9714,2.310334002,2.234993020
#Check JSON:
#(run,ls) in json but not in results: []
