#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
321820:7090,08/26/18 20:26:15,212,212,0.032764899,0.031954383
321831:7091,08/27/18 01:07:29,517,517,0.175995938,0.168700480
321832:7091,08/27/18 05:20:21,331,331,0.079814750,0.077270799
321833:7091,08/27/18 08:27:00,392,392,0.075767898,0.073346620
321834:7091,08/27/18 11:05:28,276,276,0.042492352,0.041051878
321879:7092,08/27/18 18:06:39,218,218,0.080433744,0.076880546
321880:7092,08/27/18 20:01:46,127,127,0.041738107,0.040398050
321887:7095,08/28/18 01:49:32,772,772,0.242271720,0.232842900
321908:7097,08/28/18 14:34:10,254,254,0.090659683,0.086655071
321909:7097,08/28/18 16:31:34,1393,1393,0.299674702,0.290419450
321917:7098,08/29/18 06:32:23,464,464,0.154234737,0.148005577
321919:7098,08/29/18 10:38:52,5,5,0.001368908,0.001332328
321933:7099,08/29/18 14:50:48,151,151,0.055540188,0.053226677
321961:7101,08/29/18 22:54:31,163,163,0.060283041,0.057854246
321973:7105,08/30/18 10:48:13,850,850,0.255242727,0.245193937
321975:7105,08/30/18 17:37:42,763,763,0.132392729,0.127986419
321988:7108,08/31/18 05:01:45,825,825,0.231556224,0.222628467
321990:7108,08/31/18 13:17:00,432,432,0.077591880,0.075508834
322022:7110,08/31/18 22:04:41,1366,1366,0.356408153,0.343970127
322068:7117,09/02/18 04:06:25,391,391,0.134665546,0.129520359
322079:7118,09/02/18 13:17:53,82,82,0.031218115,0.029689426
322106:7120,09/02/18 23:29:07,489,489,0.162191641,0.156434214
322118:7122,09/03/18 08:05:17,644,644,0.202438548,0.194732739
322179:7123,09/03/18 17:53:40,1230,1230,0.335287947,0.323285933
322204:7124,09/04/18 07:30:01,885,885,0.239878906,0.230621970
322222:7124,09/04/18 14:53:45,465,465,0.085110424,0.081936579
322252:7125,09/04/18 21:22:57,1230,1230,0.341105165,0.329302297
322319:7127,09/05/18 12:39:52,57,57,0.022209088,0.020541576
322322:7127,09/05/18 13:29:27,1062,1062,0.289968468,0.280708738
322324:7127,09/05/18 21:27:53,381,381,0.065747689,0.063818694
322332:7128,09/06/18 03:19:33,765,765,0.231641237,0.223275177
322348:7131,09/06/18 14:41:32,1101,1101,0.316852380,0.305141472
322355:7132,09/07/18 01:39:53,11,11,0.004285599,0.003888166
322356:7132,09/07/18 01:45:19,577,577,0.182593356,0.176481897
322381:7133,09/07/18 11:48:13,412,412,0.140727100,0.134765247
