#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320688:7006,08/01/18 17:11:20,179,179,0.047252065,0.045904672
320712:7008,08/02/18 03:01:43,161,161,0.058246413,0.056230543
320757:7013,08/02/18 15:09:24,249,249,0.090931651,0.087634258
320804:7017,08/03/18 07:30:11,1173,1173,0.315716716,0.304982456
320807:7017,08/03/18 15:28:46,2,2,0.000377819,0.000348394
320809:7017,08/03/18 15:43:13,643,643,0.095928254,0.093537500
320821:7018,08/04/18 00:08:01,154,154,0.055283911,0.053106213
320822:7018,08/04/18 01:09:16,522,522,0.154770094,0.149814403
320823:7018,08/04/18 04:34:31,360,360,0.082833312,0.080025311
320824:7018,08/04/18 06:55:49,1004,1004,0.162492005,0.158258524
320838:7020,08/04/18 17:51:47,210,210,0.077471865,0.074090343
320840:7020,08/04/18 19:20:14,452,452,0.140631872,0.135660330
320841:7020,08/04/18 22:26:03,203,203,0.051815516,0.049951005
320853:7024,08/05/18 07:44:40,182,182,0.066572730,0.064587496
320854:7024,08/05/18 08:59:06,124,124,0.041082853,0.039644924
320855:7024,08/05/18 09:50:43,456,456,0.126219059,0.121399641
320856:7024,08/05/18 13:43:04,75,75,0.016317765,0.015634627
320857:7024,08/05/18 14:40:21,187,187,0.037499954,0.036004737
320858:7024,08/05/18 16:27:33,167,167,0.028022739,0.026830233
320859:7024,08/05/18 18:00:16,35,35,0.004684449,0.004472995
320887:7026,08/06/18 00:09:29,20,20,0.007713149,0.007485721
320888:7026,08/06/18 00:32:46,9,9,0.003367367,0.003282363
320917:7031,08/06/18 10:03:21,1718,1718,0.419166939,0.406522003
320920:7031,08/06/18 21:56:15,178,178,0.024669249,0.024013428
320933:7033,08/07/18 03:34:15,159,159,0.050026103,0.047995414
320934:7033,08/07/18 04:38:31,771,771,0.205323994,0.199104037
320936:7033,08/07/18 10:01:45,292,292,0.059539448,0.057622301
320941:7033,08/07/18 12:39:42,92,92,0.016080097,0.015540763
320995:7036,08/07/18 19:28:55,134,134,0.020411725,0.019499382
320996:7036,08/07/18 20:42:30,334,334,0.045384751,0.043834224
321004:7037,08/08/18 02:01:18,90,90,0.031587865,0.030342469
321005:7037,08/08/18 02:48:15,49,49,0.017119527,0.016446374
321006:7037,08/08/18 03:15:04,112,112,0.037378896,0.035650075
321007:7037,08/08/18 04:20:19,734,734,0.186374056,0.180932504
321009:7037,08/08/18 09:43:25,34,34,0.006698579,0.006496979
321010:7037,08/08/18 10:16:22,318,318,0.055443849,0.053342716
321011:7037,08/08/18 12:32:48,201,201,0.030050805,0.027776226
321012:7037,08/08/18 13:58:30,46,46,0.005253617,0.004974448
321051:7039,08/09/18 04:16:34,941,941,0.265506186,0.255456205
321055:7039,08/09/18 10:35:36,729,729,0.128263674,0.125350601
321067:7040,08/09/18 18:22:54,542,542,0.164933509,0.159189038
321068:7040,08/09/18 22:16:40,702,702,0.150463846,0.146526686
321069:7040,08/10/18 02:54:15,305,305,0.050023669,0.048302994
321121:7042,08/10/18 16:22:06,45,45,0.016635624,0.015831462
321122:7042,08/10/18 16:42:10,366,366,0.119349942,0.114678857
321124:7042,08/10/18 19:20:25,764,764,0.179628373,0.173500959
321126:7042,08/11/18 01:08:48,426,426,0.068859659,0.066782322
321134:7043,08/11/18 08:40:42,35,35,0.007683753,0.007503468
321138:7043,08/11/18 09:36:01,690,690,0.140181271,0.136010955
321140:7043,08/11/18 14:25:01,705,705,0.106606121,0.104176848
321149:7045,08/11/18 23:56:50,1317,1317,0.325519555,0.316855089
321167:7047,08/12/18 16:46:58,655,655,0.191354429,0.185644284
321177:7048,08/13/18 05:48:10,18,18,0.006256809,0.006100515
321178:7048,08/13/18 07:02:25,48,48,0.015243595,0.014881572
321218:7052,08/13/18 13:51:20,483,483,0.152255708,0.146817346
321219:7052,08/13/18 18:10:44,727,727,0.140801694,0.136911600
321221:7052,08/14/18 00:13:21,39,39,0.005888257,0.005758836
321233:7053,08/14/18 05:50:28,519,519,0.161478254,0.156836551
321294:7055,08/14/18 17:41:17,48,48,0.017015793,0.015706828
321295:7055,08/14/18 18:01:35,650,650,0.187786345,0.181491609
321296:7055,08/14/18 22:56:08,20,20,0.004434021,0.004112129
321305:7056,08/15/18 04:05:54,2134,2134,0.440505482,0.427629349
321312:7056,08/15/18 20:56:27,749,749,0.060567529,0.059399927
321313:7056,08/16/18 01:56:27,402,402,0.026555456,0.026186523
321396:7058,08/17/18 06:53:12,1326,1326,0.333159030,0.321069933
321397:7058,08/17/18 16:11:03,260,260,0.039619089,0.038531588
321414:7061,08/17/18 23:33:38,730,730,0.204070925,0.197123096
321415:7061,08/18/18 05:21:19,771,771,0.139301562,0.135445192
321433:7063,08/18/18 15:35:44,69,69,0.024738674,0.022920430
321434:7063,08/18/18 16:07:00,542,542,0.158046301,0.153303510
321436:7063,08/18/18 20:21:15,687,687,0.137891746,0.134355251
321457:7065,08/19/18 09:40:10,1511,1511,0.373603362,0.361004145
321461:7065,08/19/18 19:38:10,147,147,0.021270594,0.020723459
321475:7069,08/20/18 02:27:49,1727,1727,0.391401481,0.378176020
321712:7078,08/23/18 13:48:04,235,235,0.083660882,0.080285456
321730:7080,08/23/18 22:29:01,74,74,0.028122947,0.026079526
321732:7080,08/23/18 23:11:27,1177,1177,0.302633627,0.291470314
321735:7080,08/24/18 08:34:37,137,137,0.022822963,0.022173601
321755:7083,08/24/18 16:26:34,190,190,0.054940253,0.053365009
321758:7083,08/24/18 18:21:07,141,141,0.035826170,0.034780745
321760:7083,08/24/18 19:45:38,694,694,0.130541285,0.126774985
321774:7087,08/25/18 13:13:44,40,40,0.015182610,0.014384253
321775:7087,08/25/18 13:36:11,13,13,0.004960631,0.004807240
321776:7087,08/25/18 13:57:38,29,29,0.010628238,0.010304681
321777:7087,08/25/18 14:14:59,182,182,0.062213554,0.056907420
321778:7087,08/25/18 16:07:27,127,127,0.037333649,0.036058295
321780:7087,08/25/18 17:04:57,481,481,0.116933559,0.113674716
321781:7087,08/25/18 20:38:11,351,351,0.064935932,0.062596235
321813:7090,08/26/18 10:30:34,134,134,0.049806545,0.047645651
321815:7090,08/26/18 12:01:16,23,23,0.007776365,0.005120206
321817:7090,08/26/18 12:20:00,517,517,0.148213424,0.143523319
321818:7090,08/26/18 15:50:06,579,579,0.119674292,0.115736395
321820:7090,08/26/18 20:26:15,187,187,0.028568370,0.027856477
321831:7091,08/27/18 01:07:29,502,502,0.167420538,0.160280472
321832:7091,08/27/18 05:06:22,480,480,0.117260950,0.113776532
321833:7091,08/27/18 08:27:00,374,374,0.072234087,0.069842241
321834:7091,08/27/18 11:05:28,308,308,0.047742193,0.046064473
321879:7092,08/27/18 18:05:52,203,203,0.075525022,0.071968692
321880:7092,08/27/18 20:02:56,115,115,0.037765710,0.036549569
321887:7095,08/28/18 01:49:32,618,618,0.193646048,0.185723775
321908:7097,08/28/18 14:34:10,271,271,0.097229870,0.093035618
321909:7097,08/28/18 16:31:34,1608,1608,0.339566206,0.329221228
321917:7098,08/29/18 06:32:23,558,558,0.182049641,0.175109791
321919:7098,08/29/18 10:38:52,6,6,0.001642874,0.001488823
321933:7099,08/29/18 14:50:48,175,175,0.064306654,0.061733207
321961:7101,08/29/18 22:54:31,154,154,0.057135631,0.054652124
321973:7105,08/30/18 10:49:46,850,850,0.247405217,0.238378118
321975:7105,08/30/18 17:37:18,812,812,0.141929017,0.137224285
321988:7108,08/31/18 05:03:19,943,943,0.256128508,0.247275014
321990:7108,08/31/18 13:16:37,435,435,0.076909288,0.074779407
322022:7110,08/31/18 22:04:41,1304,1304,0.329936665,0.318295787
322068:7117,09/02/18 04:06:01,442,442,0.151364722,0.144998932
322079:7118,09/02/18 13:18:40,37,37,0.014124016,0.013544953
322106:7120,09/02/18 23:29:07,493,493,0.160603774,0.154914578
322118:7122,09/03/18 08:05:17,716,716,0.223081515,0.214757650
322179:7123,09/03/18 17:53:40,1502,1502,0.400647777,0.386419690
322204:7124,09/04/18 07:30:01,1035,1035,0.294161200,0.282152577
322222:7124,09/04/18 14:53:45,502,502,0.092485058,0.089033930
322252:7125,09/04/18 21:22:57,1352,1352,0.370298663,0.356355582
322319:7127,09/05/18 12:39:05,60,60,0.023375538,0.021662394
322322:7127,09/05/18 13:29:27,1069,1069,0.293171324,0.282652763
322324:7127,09/05/18 21:27:53,396,396,0.067875632,0.065892272
322332:7128,09/06/18 03:19:33,705,705,0.213536552,0.205508347
322348:7131,09/06/18 14:41:32,1280,1280,0.358869216,0.345466797
322355:7132,09/07/18 01:39:53,11,11,0.004285599,0.003888166
322356:7132,09/07/18 01:45:19,648,648,0.206730645,0.199607549
322381:7133,09/07/18 11:48:13,312,312,0.105605131,0.101735416
322407:7135,09/07/18 18:04:51,438,438,0.144044433,0.137228943
322430:7137,09/08/18 02:10:36,271,271,0.093686194,0.090634933
322431:7137,09/08/18 06:34:56,1103,1103,0.220594262,0.213314891
322480:7139,09/08/18 17:40:13,286,286,0.101236126,0.095605834
322492:7139,09/08/18 20:58:22,1338,1338,0.285387295,0.275487887
322599:7144,09/09/18 17:12:13,61,61,0.023526385,0.021671667
322602:7144,09/09/18 17:40:01,69,69,0.025794356,0.024109024
322603:7144,09/09/18 18:08:09,10,10,0.003641608,0.002693892
322605:7144,09/09/18 18:13:46,273,273,0.091136362,0.087989750
322617:7144,09/09/18 21:13:20,589,589,0.138836320,0.134032503
322625:7145,09/10/18 04:25:23,968,968,0.290628351,0.280436213
322633:7145,09/10/18 10:51:34,249,249,0.052624689,0.050945617
323414:7213,09/24/18 01:57:29,23,23,0.004416129,0.003946606
323423:7213,09/24/18 05:01:48,133,133,0.021797476,0.021037074
323470:7217,09/24/18 14:51:34,60,60,0.022110719,0.021036199
323471:7217,09/24/18 15:18:19,231,231,0.080137040,0.075162100
323472:7217,09/24/18 16:51:04,63,63,0.020011964,0.019003615
323473:7217,09/24/18 17:40:41,198,198,0.056143093,0.053446098
323474:7217,09/24/18 19:42:20,348,348,0.079434568,0.076892764
323475:7217,09/24/18 22:00:42,77,77,0.014812315,0.014194080
323487:7218,09/25/18 03:50:05,345,345,0.123409534,0.118933909
