#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320674:7005,08/01/18 08:16:49,571,571,0.032641833,0.032105745
320688:7006,08/01/18 15:33:26,443,443,0.125206954,0.121061370
320712:7008,08/02/18 03:01:43,161,161,0.058246413,0.056230543
320757:7013,08/02/18 15:09:24,251,251,0.091703454,0.088381836
320804:7017,08/03/18 07:30:11,1112,1112,0.304836130,0.294971257
320807:7017,08/03/18 15:28:46,2,2,0.000377819,0.000348394
320809:7017,08/03/18 15:43:13,668,668,0.102017934,0.099575161
320821:7018,08/04/18 00:08:01,154,154,0.055283911,0.053106213
320822:7018,08/04/18 01:09:16,519,519,0.153760820,0.148829050
320823:7018,08/04/18 04:34:31,360,360,0.082833312,0.080025311
320824:7018,08/04/18 06:55:49,984,984,0.156140446,0.152220370
320838:7020,08/04/18 17:51:47,210,210,0.077471865,0.074090343
320840:7020,08/04/18 19:20:14,440,440,0.136369407,0.131102247
320841:7020,08/04/18 22:26:03,205,205,0.052347637,0.050468155
320853:7024,08/05/18 07:44:40,181,181,0.066187374,0.064211697
320854:7024,08/05/18 08:59:06,122,122,0.040421389,0.039004112
320855:7024,08/05/18 09:50:43,514,514,0.139116288,0.133987514
320856:7024,08/05/18 13:36:28,152,152,0.033069670,0.032099382
320857:7024,08/05/18 14:39:57,269,269,0.054130483,0.052263207
320858:7024,08/05/18 16:27:33,228,228,0.038677299,0.037173982
320859:7024,08/05/18 18:00:16,40,40,0.005145820,0.004926672
320887:7026,08/06/18 00:09:29,35,35,0.013437587,0.013020338
320888:7026,08/06/18 00:26:10,26,26,0.009764263,0.009500190
320917:7031,08/06/18 10:03:21,1717,1717,0.424533292,0.411708534
320920:7031,08/06/18 21:56:15,160,160,0.022062951,0.021459016
320933:7033,08/07/18 03:34:15,147,147,0.046136373,0.044283542
320934:7033,08/07/18 04:38:31,802,802,0.210704811,0.204316411
320936:7033,08/07/18 10:01:22,396,396,0.080803486,0.078319998
320941:7033,08/07/18 12:39:42,87,87,0.015227186,0.014707400
320995:7036,08/07/18 19:31:15,118,118,0.017762962,0.016988240
320996:7036,08/07/18 20:42:30,367,367,0.048821772,0.047065550
321004:7037,08/08/18 01:58:11,109,109,0.038740713,0.037282953
321005:7037,08/08/18 02:48:15,37,37,0.012726105,0.012184992
321006:7037,08/08/18 03:15:04,159,159,0.053078972,0.050727255
321007:7037,08/08/18 04:19:56,784,784,0.199913222,0.193679493
321009:7037,08/08/18 09:43:25,72,72,0.014132067,0.013759335
321010:7037,08/08/18 10:16:22,340,340,0.059403962,0.057206632
321011:7037,08/08/18 12:32:48,209,209,0.031247675,0.028948830
321012:7037,08/08/18 13:58:30,46,46,0.005253617,0.004974448
321051:7039,08/09/18 04:16:34,933,933,0.263400927,0.253605128
321055:7039,08/09/18 10:35:36,722,722,0.127091360,0.124206111
321067:7040,08/09/18 18:22:54,560,560,0.170278948,0.164617777
321068:7040,08/09/18 22:16:40,618,618,0.134095612,0.130586447
321069:7040,08/10/18 02:54:15,312,312,0.051125624,0.049382089
321121:7042,08/10/18 16:22:06,43,43,0.015889770,0.015114871
321122:7042,08/10/18 16:42:10,360,360,0.117454321,0.113980569
321124:7042,08/10/18 19:20:25,783,783,0.183754274,0.177344074
321126:7042,08/11/18 01:08:48,450,450,0.074131069,0.072068729
321134:7043,08/11/18 08:40:42,36,36,0.007951495,0.007706863
321138:7043,08/11/18 09:32:55,713,713,0.144745773,0.140068009
321140:7043,08/11/18 14:25:01,770,770,0.115534452,0.112877593
321149:7045,08/11/18 23:56:50,1446,1446,0.356939623,0.347339501
321167:7047,08/12/18 16:47:21,724,724,0.215711916,0.209093714
321177:7048,08/13/18 05:43:53,97,97,0.033992065,0.032777148
321178:7048,08/13/18 06:57:22,74,74,0.023596124,0.023034517
321218:7052,08/13/18 13:50:33,613,613,0.187789184,0.181051333
321219:7052,08/13/18 18:10:44,881,881,0.175752158,0.171095443
321221:7052,08/14/18 00:13:21,38,38,0.005739860,0.005613378
321233:7053,08/14/18 05:50:28,422,422,0.129251517,0.125528126
321294:7055,08/14/18 17:41:17,48,48,0.017015793,0.015706828
321295:7055,08/14/18 18:01:35,733,733,0.208334072,0.201170149
321296:7055,08/14/18 22:55:44,56,56,0.012397914,0.011876596
321305:7056,08/15/18 04:05:54,2211,2211,0.477864863,0.463205691
321312:7056,08/15/18 20:56:27,668,668,0.053992841,0.052906612
