#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
321818:7090,08/26/18 15:50:29,633,633,0.131337646,0.127148989
321820:7090,08/26/18 20:26:15,214,214,0.032880906,0.032068958
321831:7091,08/27/18 01:07:29,590,590,0.196971461,0.188997425
321832:7091,08/27/18 05:06:22,479,479,0.116706253,0.113268540
321833:7091,08/27/18 08:27:00,368,368,0.070894565,0.068608394
321834:7091,08/27/18 11:05:28,328,328,0.050855639,0.049113012
321879:7092,08/27/18 18:05:52,227,227,0.083594227,0.079466537
321880:7092,08/27/18 20:01:46,126,126,0.041436481,0.040103676
321887:7095,08/28/18 01:49:32,763,763,0.239245427,0.229891820
321908:7097,08/28/18 14:34:10,258,258,0.092317883,0.088291410
321909:7097,08/28/18 16:31:34,1315,1315,0.280173915,0.271348729
321917:7098,08/29/18 06:32:23,573,573,0.189012760,0.181915975
321919:7098,08/29/18 10:38:52,5,5,0.001369416,0.001221677
321933:7099,08/29/18 14:50:48,165,165,0.060527968,0.058068363
321961:7101,08/29/18 22:54:31,163,163,0.060270834,0.057707251
321973:7105,08/30/18 10:48:13,865,865,0.255884995,0.246413363
321975:7105,08/30/18 17:37:18,754,754,0.130887926,0.126430417
321988:7108,08/31/18 05:01:45,982,982,0.288471793,0.277456836
321990:7108,08/31/18 13:16:37,441,441,0.078249403,0.076134772
322022:7110,08/31/18 22:05:05,1325,1325,0.341564380,0.329932704
322068:7117,09/02/18 04:06:01,294,294,0.100538610,0.096344107
322079:7118,09/02/18 13:17:53,75,75,0.028548167,0.027102342
322106:7120,09/02/18 23:29:53,506,506,0.165961240,0.160273700
322118:7122,09/03/18 08:05:17,620,620,0.192880788,0.185583971
322179:7123,09/03/18 17:53:40,1406,1406,0.370552213,0.357257670
322204:7124,09/04/18 07:33:54,984,984,0.276179601,0.265403971
322222:7124,09/04/18 14:53:45,511,511,0.093611927,0.090118069
322252:7125,09/04/18 21:22:57,1226,1226,0.334616052,0.321811254
322319:7127,09/05/18 12:39:28,22,22,0.008561115,0.007852107
322322:7127,09/05/18 13:30:14,1014,1014,0.276937555,0.268046841
322324:7127,09/05/18 21:27:53,299,299,0.051878895,0.050352043
322332:7128,09/06/18 03:19:33,776,776,0.237606468,0.228736951
322348:7131,09/06/18 14:41:32,1252,1252,0.353457449,0.340930773
322355:7132,09/07/18 01:39:53,11,11,0.004285599,0.003888166
322356:7132,09/07/18 01:45:19,681,681,0.213679487,0.206528633
322381:7133,09/07/18 11:48:13,412,412,0.141399997,0.135444510
322407:7135,09/07/18 18:04:27,399,399,0.133050291,0.126271514
322430:7137,09/08/18 02:10:36,307,307,0.106033757,0.102482934
322431:7137,09/08/18 06:34:56,1008,1008,0.200848189,0.194187704
322480:7139,09/08/18 17:40:59,264,264,0.092523515,0.086995080
322492:7139,09/08/18 20:58:22,1308,1308,0.277769339,0.268315704
322599:7144,09/09/18 17:12:13,57,57,0.021982145,0.020914365
322602:7144,09/09/18 17:40:01,69,69,0.025794356,0.024109024
322603:7144,09/09/18 18:08:09,10,10,0.003641608,0.002693892
322605:7144,09/09/18 18:13:23,231,231,0.077153905,0.074552982
322617:7144,09/09/18 21:13:43,535,535,0.124933502,0.120295567
322625:7145,09/10/18 04:25:23,934,934,0.281149756,0.271446643
322633:7145,09/10/18 10:51:34,210,210,0.044432660,0.043022577
323414:7213,09/24/18 01:58:39,6,6,0.001217984,0.001137539
323423:7213,09/24/18 05:02:35,71,71,0.011569833,0.011201974
323470:7217,09/24/18 14:51:34,59,59,0.021737308,0.020680159
323471:7217,09/24/18 15:18:19,219,219,0.076003797,0.071214181
323472:7217,09/24/18 16:51:04,61,61,0.019377495,0.018387789
323473:7217,09/24/18 17:40:41,194,194,0.055009020,0.052341533
323474:7217,09/24/18 19:42:20,232,232,0.052570381,0.050769646
323475:7217,09/24/18 22:00:42,74,74,0.014527742,0.013915122
323487:7218,09/25/18 03:50:05,271,271,0.095418001,0.091742824
323488:7218,09/25/18 06:30:08,683,683,0.176380670,0.170002206
323492:7218,09/25/18 11:45:43,28,28,0.006046351,0.005823197
323493:7218,09/25/18 11:58:37,136,136,0.027505015,0.026603554
323495:7218,09/25/18 12:54:31,169,169,0.030204073,0.029046510
323524:7221,09/25/18 22:36:20,459,459,0.154532963,0.148671286
323525:7221,09/26/18 02:05:25,1025,1025,0.230502185,0.222084699
323526:7221,09/26/18 09:22:43,426,426,0.061747522,0.060299441
323693:7234,09/29/18 02:15:28,41,41,0.016013195,0.014719486
323696:7234,09/29/18 02:33:10,223,223,0.080955530,0.077059139
323702:7234,09/29/18 08:56:34,660,660,0.121949818,0.118626335
323725:7236,09/29/18 19:37:19,168,168,0.062820895,0.059397113
323726:7236,09/29/18 20:49:58,51,51,0.017765090,0.014104401
323727:7236,09/29/18 21:21:37,840,840,0.217638170,0.209962005
323755:7239,09/30/18 12:43:59,686,686,0.213907470,0.205971901
323775:7240,09/30/18 20:33:35,17,17,0.006655351,0.006143253
323778:7240,09/30/18 20:41:26,769,769,0.237051127,0.226828346
323790:7242,10/01/18 08:10:47,711,711,0.228273864,0.218629877
323794:7242,10/01/18 13:29:17,66,66,0.016277165,0.015578282
323841:7245,10/01/18 23:56:54,393,393,0.137352462,0.131142851
323857:7245,10/02/18 02:35:30,340,340,0.094332581,0.091069998
323940:7252,10/03/18 02:47:12,1157,1157,0.319385984,0.305789293
323954:7252,10/03/18 11:06:37,51,51,0.010380846,0.009969359
323980:7253,10/03/18 14:54:19,91,91,0.033263654,0.031650246
323983:7253,10/03/18 16:11:58,168,168,0.054450438,0.051800965
323997:7253,10/03/18 17:30:39,429,429,0.116703248,0.111736219
324021:7256,10/04/18 03:19:57,498,498,0.163535706,0.155723819
324022:7256,10/04/18 06:50:15,450,450,0.107026856,0.103717272
324077:7259,10/04/18 23:49:08,389,389,0.133883843,0.128432434
324201:7264,10/07/18 00:27:04,1103,1103,0.299367416,0.288123895
324202:7264,10/07/18 08:49:38,220,220,0.037164173,0.036491921
324205:7264,10/07/18 10:31:04,149,149,0.022060526,0.021382196
324206:7264,10/07/18 11:38:14,129,129,0.017504489,0.016991293
324207:7264,10/07/18 12:44:24,33,33,0.004195281,0.004054579
324209:7264,10/07/18 13:02:20,134,134,0.015669292,0.015370463
324237:7265,10/07/18 22:24:45,45,45,0.017036868,0.016216660
324245:7266,10/08/18 01:59:05,1178,1178,0.298741573,0.286908828
324293:7270,10/08/18 23:55:38,1901,1901,0.418974460,0.405461287
324315:7271,10/09/18 16:50:47,69,69,0.025422163,0.024238934
324318:7271,10/09/18 17:54:05,199,199,0.061771032,0.058903783
324420:7274,10/11/18 00:28:04,500,500,0.166351003,0.159099284
324729:7308,10/16/18 09:28:04,188,188,0.014939172,0.014402804
324747:7309,10/16/18 13:11:58,786,786,0.227364762,0.217035763
324764:7309,10/16/18 19:54:47,130,130,0.028339441,0.027306622
324765:7309,10/16/18 20:52:50,452,452,0.085293353,0.082654205
324769:7309,10/16/18 23:59:45,299,299,0.043653562,0.042530369
324772:7309,10/17/18 02:48:00,145,145,0.016746293,0.016387125
324785:7310,10/17/18 06:34:19,464,464,0.153166978,0.147247409
324791:7310,10/17/18 10:04:47,1070,1070,0.221692915,0.214586171
324835:7314,10/17/18 23:15:18,130,130,0.047936932,0.041868960
324840:7314,10/18/18 00:41:14,87,87,0.029266277,0.026734289
324841:7314,10/18/18 01:18:35,1266,1266,0.293750453,0.283532003
324846:7314,10/18/18 10:06:07,477,477,0.065771703,0.063775410
324878:7315,10/18/18 16:25:23,1068,1068,0.237579362,0.229405757
324897:7317,10/19/18 07:22:38,24,24,0.008989018,0.008573493
324970:7320,10/19/18 16:52:35,1429,1429,0.290673755,0.279772847
324980:7321,10/20/18 09:21:40,1520,1520,0.326194548,0.312006194
324997:7324,10/21/18 05:08:46,24,24,0.009006176,0.007552889
324998:7324,10/21/18 05:23:14,172,172,0.058536383,0.054637786
324999:7324,10/21/18 07:47:04,7,7,0.002096460,0.001866132
325000:7324,10/21/18 08:07:01,179,179,0.045658132,0.044246137
325001:7324,10/21/18 10:29:40,380,380,0.079353516,0.076520675
325022:7328,10/21/18 23:19:59,260,260,0.054732053,0.052908218
325057:7331,10/22/18 15:01:34,105,105,0.038320497,0.036266211
325099:7333,10/22/18 22:31:41,160,160,0.058247640,0.055597776
325100:7333,10/23/18 00:24:31,211,211,0.065435738,0.061955279
325101:7333,10/23/18 02:07:46,189,189,0.049083630,0.046645230
325110:7333,10/23/18 05:50:07,7,7,0.001485376,0.001458670
325117:7333,10/23/18 07:39:31,124,124,0.019259529,0.018569543
325159:7334,10/23/18 14:49:40,104,104,0.033586175,0.031372897
325168:7334,10/23/18 16:10:43,9,9,0.002758925,0.001815339
325169:7334,10/23/18 16:19:51,8,8,0.002419709,0.001377848
325170:7334,10/23/18 16:31:17,270,270,0.064854331,0.061783989
325172:7334,10/24/18 01:15:28,287,287,0.040527536,0.039399567
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#94,222,92955,92955,23.223369249,22.364391163
#Check JSON:
#(run,ls) in json but not in results: []
