#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
321818:7090,08/26/18 15:50:06,600,600,0.123977322,0.119947502
321820:7090,08/26/18 20:26:15,189,189,0.028944350,0.028223503
321831:7091,08/27/18 01:07:29,600,600,0.200159021,0.191972986
321832:7091,08/27/18 05:06:22,477,477,0.116415837,0.112954647
321833:7091,08/27/18 08:27:00,355,355,0.068771694,0.066465106
321834:7091,08/27/18 11:05:28,294,294,0.045348406,0.043731607
321879:7092,08/27/18 18:05:52,233,233,0.086041879,0.081804375
321880:7092,08/27/18 20:01:46,130,130,0.042742253,0.041375820
321887:7095,08/28/18 01:49:32,772,772,0.241975375,0.232570804
321908:7097,08/28/18 14:34:10,285,285,0.101896340,0.097556987
321909:7097,08/28/18 16:31:34,1650,1650,0.351074866,0.340283193
321917:7098,08/29/18 06:32:23,628,628,0.205115681,0.197493799
321919:7098,08/29/18 10:38:52,6,6,0.001642874,0.001488823
321933:7099,08/29/18 14:50:48,175,175,0.064306654,0.061733207
321961:7101,08/29/18 22:54:31,116,116,0.042397958,0.040639580
321973:7105,08/30/18 10:48:13,1039,1039,0.307559410,0.296000148
321975:7105,08/30/18 17:37:18,865,865,0.150572449,0.145583117
321988:7108,08/31/18 05:01:45,1152,1152,0.330819706,0.318322275
321990:7108,08/31/18 13:16:37,471,471,0.083326865,0.081031948
322022:7110,08/31/18 22:04:41,1599,1599,0.412841919,0.398480957
322068:7117,09/02/18 04:06:01,455,455,0.155748779,0.149268596
322079:7118,09/02/18 13:17:53,83,83,0.031599067,0.030058912
322106:7120,09/02/18 23:29:07,535,535,0.174936839,0.168826838
322118:7122,09/03/18 08:05:17,738,738,0.229618563,0.220992791
322179:7123,09/03/18 17:53:40,1548,1548,0.411576902,0.396736764
322204:7124,09/04/18 07:30:01,1060,1060,0.299972587,0.288338442
322222:7124,09/04/18 14:53:45,524,524,0.095875042,0.092326104
322252:7125,09/04/18 21:22:57,1396,1396,0.383006760,0.368632647
322319:7127,09/05/18 12:39:05,60,60,0.023375538,0.021662394
322322:7127,09/05/18 13:29:27,1106,1106,0.303352082,0.292464047
322324:7127,09/05/18 21:27:53,399,399,0.068951006,0.066984128
322332:7128,09/06/18 03:19:33,826,826,0.251642929,0.242195141
322348:7131,09/06/18 14:41:32,1316,1316,0.370603918,0.356683773
322355:7132,09/07/18 01:39:53,11,11,0.004285599,0.003888166
322356:7132,09/07/18 01:45:19,687,687,0.217726655,0.210327703
322381:7133,09/07/18 11:48:13,243,243,0.083711125,0.080508705
322407:7135,09/07/18 18:04:27,475,475,0.156854881,0.148952199
322430:7137,09/08/18 02:10:36,323,323,0.111713517,0.108002811
322431:7137,09/08/18 06:34:56,1105,1105,0.220888869,0.213603922
322480:7139,09/08/18 17:40:13,315,315,0.110888432,0.104953857
322492:7139,09/08/18 20:58:22,1380,1380,0.295980647,0.285796765
322599:7144,09/09/18 17:12:13,61,61,0.023526385,0.021671667
322602:7144,09/09/18 17:40:01,69,69,0.025794356,0.024109024
322603:7144,09/09/18 18:08:09,10,10,0.003641608,0.002693892
