#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320674:7005,08/01/18 08:16:49,586,586,0.033489554,0.032939506
320688:7006,08/01/18 15:33:26,399,399,0.113081084,0.109210466
320712:7008,08/02/18 03:01:43,159,159,0.057522549,0.055523129
320757:7013,08/02/18 15:09:24,249,249,0.090996502,0.087690517
320804:7017,08/03/18 07:30:11,1209,1209,0.324396859,0.313456261
320807:7017,08/03/18 15:28:46,3,3,0.000566392,0.000348399
320809:7017,08/03/18 15:43:13,659,659,0.101327149,0.098743393
320821:7018,08/04/18 00:08:01,154,154,0.055283911,0.053106213
320822:7018,08/04/18 01:09:16,482,482,0.142532461,0.138021470
320823:7018,08/04/18 04:34:31,360,360,0.082833312,0.080025311
320824:7018,08/04/18 06:55:49,1024,1024,0.165511427,0.161217656
320838:7020,08/04/18 17:51:47,210,210,0.077471865,0.074090343
320840:7020,08/04/18 19:20:14,446,446,0.139068354,0.133735044
320841:7020,08/04/18 22:26:03,205,205,0.052347637,0.050468155
320853:7024,08/05/18 07:44:40,180,180,0.065808394,0.063842009
320854:7024,08/05/18 08:59:06,123,123,0.040753719,0.039328356
320855:7024,08/05/18 09:51:30,556,556,0.149306193,0.144057676
320856:7024,08/05/18 13:36:28,159,159,0.034598791,0.033490847
320857:7024,08/05/18 14:39:57,272,272,0.054740449,0.052859822
320858:7024,08/05/18 16:27:33,230,230,0.039032500,0.037521088
320859:7024,08/05/18 18:00:16,40,40,0.005145820,0.004926672
320887:7026,08/06/18 00:09:29,39,39,0.014964884,0.014504618
320888:7026,08/06/18 00:26:10,26,26,0.009764263,0.009500190
320917:7031,08/06/18 10:03:21,1704,1704,0.425042753,0.412363399
320920:7031,08/06/18 21:56:15,178,178,0.024669249,0.024013428
320933:7033,08/07/18 03:34:15,159,159,0.050026103,0.047995414
320934:7033,08/07/18 04:38:31,785,785,0.206436631,0.200148562
320936:7033,08/07/18 10:01:22,396,396,0.080803486,0.078319998
320941:7033,08/07/18 12:39:42,90,90,0.015614084,0.015091645
320995:7036,08/07/18 19:28:55,175,175,0.026906905,0.025796132
320996:7036,08/07/18 20:42:30,374,374,0.049821295,0.048038241
321004:7037,08/08/18 01:58:11,114,114,0.040520278,0.039020539
321005:7037,08/08/18 02:48:15,44,44,0.015224571,0.014615515
321006:7037,08/08/18 03:15:04,142,142,0.047218745,0.045044879
321007:7037,08/08/18 04:19:56,766,766,0.195293613,0.189412908
321009:7037,08/08/18 09:43:25,72,72,0.014131491,0.013761576
321010:7037,08/08/18 10:16:22,319,319,0.055558403,0.053560527
321011:7037,08/08/18 12:32:48,208,208,0.031100760,0.028837989
321012:7037,08/08/18 13:58:30,43,43,0.005012190,0.004737414
321051:7039,08/09/18 04:16:34,865,865,0.242898133,0.233683961
321055:7039,08/09/18 10:35:36,725,725,0.127560636,0.124769785
321067:7040,08/09/18 18:22:54,583,583,0.176610169,0.170594311
321068:7040,08/09/18 22:16:40,636,636,0.136814909,0.133180553
321069:7040,08/10/18 02:54:38,312,312,0.051131175,0.049507507
321121:7042,08/10/18 16:22:06,44,44,0.016270981,0.015723093
321122:7042,08/10/18 16:42:10,336,336,0.110070962,0.106648876
321124:7042,08/10/18 19:20:25,804,804,0.189471391,0.182963980
321126:7042,08/11/18 01:08:48,480,480,0.079064243,0.076776947
321134:7043,08/11/18 08:40:42,36,36,0.007951495,0.007706863
321138:7043,08/11/18 09:33:42,678,678,0.138260570,0.133737297
321140:7043,08/11/18 14:25:01,771,771,0.115331369,0.112682662
321149:7045,08/11/18 23:56:50,1416,1416,0.349855007,0.340475081
321167:7047,08/12/18 16:46:58,751,751,0.221717909,0.214944990
321177:7048,08/13/18 05:43:53,99,99,0.034677832,0.033442817
321178:7048,08/13/18 06:57:22,74,74,0.023596124,0.023034517
321218:7052,08/13/18 13:50:33,646,646,0.198136822,0.191141988
321219:7052,08/13/18 18:11:08,915,915,0.182988332,0.178034820
321221:7052,08/14/18 00:13:21,40,40,0.006038613,0.005906206
321233:7053,08/14/18 05:50:28,520,520,0.164476845,0.159727944
321294:7055,08/14/18 17:41:17,48,48,0.017015793,0.015706828
321295:7055,08/14/18 18:01:35,706,706,0.200118507,0.193335076
321296:7055,08/14/18 22:55:44,56,56,0.012397914,0.011876596
321305:7056,08/15/18 04:05:54,2085,2085,0.447607844,0.434077083
321312:7056,08/15/18 20:56:27,707,707,0.057031280,0.055832079
321313:7056,08/16/18 01:56:27,395,395,0.026091899,0.025729702
321396:7058,08/17/18 06:53:12,1335,1335,0.338957964,0.326810858
321397:7058,08/17/18 16:11:03,345,345,0.050599340,0.049240225
321414:7061,08/17/18 23:32:05,820,820,0.236469316,0.228724011
321415:7061,08/18/18 05:21:19,741,741,0.134229266,0.130471394
321433:7063,08/18/18 15:35:44,71,71,0.025465029,0.023623756
321434:7063,08/18/18 16:07:00,606,606,0.177780412,0.172548205
321436:7063,08/18/18 20:20:52,619,619,0.121915943,0.118911327
321457:7065,08/19/18 09:40:10,1412,1412,0.353460514,0.341577556
321461:7065,08/19/18 19:38:10,145,145,0.020965486,0.020424252
321475:7069,08/20/18 02:27:49,1798,1798,0.409217512,0.395509810
321712:7078,08/23/18 13:48:04,174,174,0.061957794,0.059239649
321730:7080,08/23/18 22:26:17,81,81,0.030835811,0.028149232
321732:7080,08/23/18 23:11:04,1319,1319,0.332441455,0.319830533
321735:7080,08/24/18 08:34:37,143,143,0.023813116,0.023136986
321755:7083,08/24/18 16:26:11,240,240,0.069908303,0.067854103
321758:7083,08/24/18 18:21:07,149,149,0.037869319,0.036767059
321760:7083,08/24/18 19:45:38,775,775,0.145492278,0.141265473
321774:7087,08/25/18 13:13:44,40,40,0.015201770,0.014407111
321775:7087,08/25/18 13:36:11,12,12,0.004580492,0.004437364
