#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
317087:6738,05/29/18 02:15:38,340,340,0.105226180,0.101232388
317089:6738,05/29/18 04:48:01,992,992,0.218659967,0.211649520
317182:6741,05/30/18 12:17:59,903,903,0.244026860,0.236739679
317213:6744,05/31/18 05:29:39,93,93,0.030373422,0.029210472
317279:6747,05/31/18 17:11:10,466,466,0.068311783,0.065891594
317291:6749,06/01/18 06:10:03,284,284,0.089554106,0.087239989
317292:6749,06/01/18 08:08:05,330,330,0.087646871,0.085006647
317297:6749,06/01/18 11:35:45,694,694,0.126773015,0.123169349
317320:6751,06/01/18 22:52:43,1477,1477,0.349349203,0.337363692
317340:6752,06/02/18 14:05:02,142,142,0.046492249,0.043472837
317392:6757,06/04/18 06:46:39,1380,1380,0.314704901,0.305846171
317435:6759,06/05/18 01:38:22,1165,1165,0.293870781,0.283550599
317438:6759,06/05/18 09:20:20,307,307,0.051746867,0.049709578
317484:6761,06/05/18 20:47:15,379,379,0.115200473,0.111463486
317488:6761,06/05/18 23:26:30,844,844,0.186916038,0.181128073
317527:6763,06/07/18 01:09:44,1089,1089,0.329664864,0.319245506
317591:6768,06/08/18 08:46:59,37,37,0.014037559,0.013641099
317626:6770,06/08/18 22:31:58,1723,1723,0.432378343,0.418731523
317640:6772,06/09/18 15:24:55,546,546,0.173851503,0.167689423
317641:6772,06/09/18 19:02:09,1384,1384,0.275462779,0.267363573
317649:6773,06/10/18 07:23:44,579,579,0.187337884,0.181005466
317650:6773,06/10/18 11:10:27,1301,1301,0.263771072,0.255470528
317661:6774,06/10/18 23:22:04,992,992,0.297186232,0.287675701
317663:6774,06/11/18 06:28:48,839,839,0.153536099,0.149777069
317683:6776,06/11/18 17:30:48,133,133,0.049319177,0.047385245
317696:6778,06/12/18 01:23:27,429,429,0.151415705,0.145983964
318733:6850,06/26/18 22:29:04,31,31,0.002804112,0.002613829
318828:6858,06/28/18 06:33:31,62,62,0.011914908,0.011492657
318872:6860,06/28/18 15:56:21,254,254,0.088355358,0.085541724
318874:6860,06/28/18 17:39:38,316,316,0.102969915,0.099565217
318876:6860,06/28/18 19:45:23,159,159,0.048433091,0.046294637
318877:6860,06/28/18 20:49:22,557,557,0.150149193,0.145957500
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#21,32,20227,20227,5.061440508,4.898108735
#Check JSON:
#(run,ls) in json but not in results: []
