#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
321818:7090,08/26/18 15:50:06,685,685,0.141882998,0.137372182
321820:7090,08/26/18 20:26:15,213,213,0.032730741,0.031921865
321831:7091,08/27/18 01:07:29,599,599,0.199897934,0.191721893
321832:7091,08/27/18 05:06:22,489,489,0.119242476,0.115712265
321833:7091,08/27/18 08:27:00,396,396,0.076503572,0.073992659
321834:7091,08/27/18 11:05:28,333,333,0.051569711,0.049809506
321879:7092,08/27/18 18:05:52,233,233,0.086101181,0.081859706
321880:7092,08/27/18 20:01:46,129,129,0.042419909,0.041061556
321887:7095,08/28/18 01:49:32,778,778,0.243816671,0.234350669
321908:7097,08/28/18 14:34:10,285,285,0.101896340,0.097556987
321909:7097,08/28/18 16:31:34,1651,1651,0.351121384,0.340329993
321917:7098,08/29/18 06:32:23,626,626,0.204320318,0.197013659
321919:7098,08/29/18 10:38:52,6,6,0.001642874,0.001488823
321933:7099,08/29/18 14:50:48,175,175,0.064306654,0.061733207
321961:7101,08/29/18 22:54:31,170,170,0.062838620,0.060198021
321973:7105,08/30/18 10:48:13,1037,1037,0.306631676,0.295102474
321975:7105,08/30/18 17:37:18,866,866,0.150778733,0.145783784
321988:7108,08/31/18 05:01:45,1136,1136,0.325682453,0.313337297
321990:7108,08/31/18 13:16:37,469,469,0.082925119,0.080640818
322022:7110,08/31/18 22:04:41,1593,1593,0.411677339,0.397288270
322068:7117,09/02/18 04:06:01,449,449,0.153750790,0.147337571
322079:7118,09/02/18 13:17:53,83,83,0.031599067,0.030058912
322106:7120,09/02/18 23:29:07,543,543,0.177262984,0.171087930
322118:7122,09/03/18 08:05:17,738,738,0.229678205,0.221039567
322179:7123,09/03/18 17:53:40,1539,1539,0.409196066,0.394414775
322204:7124,09/04/18 07:30:01,1107,1107,0.316021032,0.303243879
322222:7124,09/04/18 14:53:45,525,525,0.096089559,0.092534318
322252:7125,09/04/18 21:22:57,1330,1330,0.363098191,0.349479275
322319:7127,09/05/18 12:39:05,58,58,0.022614775,0.020928674
322322:7127,09/05/18 13:29:27,1091,1091,0.299689597,0.288906321
322324:7127,09/05/18 21:27:53,415,415,0.071164894,0.069104764
322332:7128,09/06/18 03:19:33,839,839,0.256741023,0.247023285
