#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320674:7005,08/01/18 08:16:49,469,469,0.026736240,0.026285225
320688:7006,08/01/18 15:33:26,376,376,0.108552064,0.104946050
320712:7008,08/02/18 03:01:43,151,151,0.054606139,0.052679440
320757:7013,08/02/18 15:09:24,246,246,0.089850212,0.086577089
320804:7017,08/03/18 07:30:11,954,954,0.261978697,0.252808923
320807:7017,08/03/18 15:28:46,3,3,0.000566237,0.000348402
320809:7017,08/03/18 15:43:13,614,614,0.093524972,0.091113472
320821:7018,08/04/18 00:08:01,101,101,0.036167751,0.034683144
320822:7018,08/04/18 01:09:16,457,457,0.137329190,0.132781090
320823:7018,08/04/18 04:34:31,355,355,0.081608704,0.078825862
320824:7018,08/04/18 06:55:49,949,949,0.150842367,0.147054298
320838:7020,08/04/18 17:51:47,194,194,0.071389719,0.068174210
320840:7020,08/04/18 19:20:14,383,383,0.119681985,0.115293880
320841:7020,08/04/18 22:26:26,93,93,0.024227537,0.023381533
320853:7024,08/05/18 07:44:40,72,72,0.026640086,0.025765366
320854:7024,08/05/18 08:59:52,108,108,0.035698080,0.034657892
320855:7024,08/05/18 09:50:43,459,459,0.121625443,0.117329084
320856:7024,08/05/18 13:36:28,119,119,0.025854914,0.025052887
320857:7024,08/05/18 14:39:57,267,267,0.053698061,0.051840073
320858:7024,08/05/18 16:27:33,185,185,0.031316377,0.029982814
320859:7024,08/05/18 18:00:16,40,40,0.005145820,0.004926672
320887:7026,08/06/18 00:09:29,39,39,0.014964884,0.014504618
320888:7026,08/06/18 00:26:10,23,23,0.008638943,0.008406761
320917:7031,08/06/18 10:03:21,1645,1645,0.409090724,0.396936718
320920:7031,08/06/18 21:56:15,175,175,0.024238570,0.023592849
320933:7033,08/07/18 03:34:15,156,156,0.049123277,0.047500223
320934:7033,08/07/18 04:38:31,637,637,0.170886630,0.165713169
320936:7033,08/07/18 10:01:45,350,350,0.071318738,0.069130776
320941:7033,08/07/18 12:39:42,89,89,0.015524392,0.014998011
320995:7036,08/07/18 19:28:55,163,163,0.025204125,0.024140817
320996:7036,08/07/18 20:42:30,323,323,0.042744047,0.041139940
321004:7037,08/08/18 01:58:11,101,101,0.035856300,0.034482628
321005:7037,08/08/18 02:48:15,53,53,0.018745251,0.018150223
321006:7037,08/08/18 03:15:04,151,151,0.050394145,0.048191371
321007:7037,08/08/18 04:19:56,701,701,0.180447917,0.174668050
