#pt	w	w_err	wUp	wDown
14.147	1.420	0.798	0.662	2.178
14.451	1.146	0.367	0.799	1.493
14.777	0.768	0.171	0.606	0.929
15.127	0.660	0.112	0.555	0.766
15.503	0.608	0.082	0.531	0.684
15.907	0.778	0.067	0.715	0.841
16.340	0.917	0.059	0.863	0.972
16.805	0.845	0.045	0.803	0.887
17.304	0.829	0.038	0.794	0.864
17.839	0.877	0.034	0.847	0.908
18.414	0.901	0.032	0.872	0.930
19.031	0.948	0.030	0.921	0.975
19.693	0.941	0.028	0.916	0.966
20.404	0.989	0.027	0.965	1.013
21.167	0.973	0.026	0.951	0.995
21.986	0.981	0.026	0.959	1.003
22.865	1.000	0.026	0.979	1.021
23.808	0.997	0.026	0.976	1.017
24.821	1.068	0.028	1.047	1.089
25.907	1.018	0.027	0.999	1.037
27.074	1.031	0.028	1.012	1.049
28.326	1.011	0.029	0.994	1.028
29.669	1.034	0.030	1.019	1.048
31.112	1.053	0.031	1.042	1.065
32.660	1.046	0.032	1.040	1.053
34.321	1.039	0.034	1.039	1.038
36.104	1.054	0.036	1.057	1.051
38.019	1.082	0.040	1.088	1.075
40.073	1.046	0.042	1.056	1.036
42.278	1.044	0.047	1.058	1.029
44.645	1.026	0.051	1.046	1.007
47.185	1.145	0.061	1.172	1.118
49.912	1.090	0.064	1.122	1.057
52.839	1.147	0.075	1.191	1.104
55.980	0.999	0.077	1.048	0.951
59.351	1.085	0.097	1.152	1.019
62.970	1.152	0.112	1.233	1.070
66.854	1.226	0.126	1.324	1.128
71.023	1.026	0.159	1.156	0.897
75.497	1.015	0.175	1.163	0.867
80.300	1.081	0.183	1.241	0.920
85.455	1.048	0.223	1.249	0.847
90.987	1.290	0.259	1.529	1.050
96.926	1.184	0.174	1.348	1.019
