#pt	w	w_err	wUp	wDown
12.231	0.776	0.319	0.474	1.079
12.709	0.621	0.144	0.485	0.756
13.219	0.884	0.118	0.773	0.995
13.763	0.857	0.076	0.786	0.928
14.342	0.877	0.062	0.820	0.935
14.960	0.840	0.051	0.794	0.887
15.618	0.887	0.046	0.845	0.928
16.320	0.924	0.044	0.884	0.963
17.068	0.983	0.042	0.946	1.020
17.866	0.929	0.042	0.892	0.965
18.717	1.046	0.044	1.009	1.084
19.624	1.003	0.042	0.968	1.038
20.590	1.024	0.045	0.988	1.060
21.621	0.925	0.040	0.894	0.956
22.720	1.002	0.043	0.971	1.033
23.892	1.015	0.044	0.986	1.043
25.141	1.049	0.046	1.022	1.076
26.472	1.073	0.050	1.049	1.097
27.892	0.976	0.048	0.959	0.993
29.405	1.038	0.053	1.029	1.048
31.019	1.142	0.060	1.143	1.141
32.739	1.022	0.061	1.029	1.016
34.573	1.104	0.070	1.117	1.091
36.528	1.076	0.077	1.096	1.056
38.612	1.057	0.082	1.085	1.030
40.834	1.077	0.097	1.116	1.038
43.203	1.394	0.121	1.451	1.336
45.729	1.045	0.119	1.109	0.982
48.422	1.222	0.140	1.304	1.139
51.293	1.266	0.168	1.375	1.157
54.353	1.038	0.153	1.145	0.931
57.616	1.063	0.183	1.199	0.927
61.095	1.118	0.238	1.305	0.932
64.803	0.875	0.208	1.047	0.704
68.757	1.027	0.279	1.266	0.789
72.972	1.120	0.320	1.402	0.838
77.466	1.481	0.466	1.904	1.059
82.257	2.262	0.839	3.039	1.484
87.364	1.358	0.302	1.643	1.074
