#pt	w	w_err	wUp	wDown
18.302	0.500	0.097	0.408	0.592
18.919	0.666	0.083	0.587	0.744
19.565	0.860	0.070	0.795	0.926
20.241	0.737	0.047	0.693	0.781
20.948	0.849	0.044	0.809	0.890
21.688	0.796	0.036	0.762	0.830
22.462	0.845	0.033	0.815	0.876
23.272	0.907	0.032	0.879	0.936
24.120	0.905	0.030	0.879	0.932
25.008	0.911	0.027	0.886	0.935
25.936	0.915	0.027	0.892	0.939
26.907	0.955	0.026	0.933	0.977
27.924	0.947	0.025	0.926	0.968
28.988	0.954	0.024	0.934	0.973
30.101	0.959	0.024	0.940	0.978
31.265	1.017	0.025	0.998	1.036
32.484	0.940	0.023	0.924	0.957
33.760	0.985	0.024	0.968	1.001
35.094	1.018	0.025	1.003	1.033
36.491	0.998	0.025	0.984	1.011
37.952	1.050	0.027	1.038	1.062
39.481	1.028	0.027	1.019	1.037
41.081	1.032	0.028	1.027	1.038
42.755	1.037	0.029	1.036	1.037
44.507	1.077	0.031	1.079	1.075
46.340	1.053	0.031	1.057	1.049
48.258	1.078	0.033	1.084	1.072
50.266	1.075	0.034	1.083	1.066
52.366	1.053	0.036	1.063	1.042
54.564	1.177	0.041	1.191	1.163
56.864	1.074	0.040	1.091	1.058
59.271	1.104	0.045	1.124	1.084
61.789	1.151	0.048	1.175	1.127
64.424	1.043	0.049	1.070	1.016
67.182	1.201	0.057	1.234	1.168
70.067	1.074	0.059	1.111	1.037
73.086	0.971	0.057	1.010	0.933
76.246	1.061	0.066	1.108	1.014
79.551	1.399	0.086	1.463	1.335
83.011	1.039	0.073	1.095	0.983
86.631	1.158	0.088	1.228	1.087
90.419	1.126	0.093	1.202	1.050
94.382	1.188	0.100	1.272	1.103
98.530	1.286	0.126	1.396	1.177
102.870	1.191	0.127	1.303	1.078
107.411	1.307	0.152	1.444	1.169
112.163	1.042	0.135	1.167	0.918
117.136	1.085	0.142	1.217	0.953
122.339	1.216	0.082	1.293	1.138
