#pt	w	w_err	wUp	wDown
14.147	1.282	0.763	0.557	2.006
14.451	1.094	0.372	0.742	1.446
14.777	0.612	0.178	0.444	0.780
15.127	0.744	0.141	0.612	0.877
15.503	0.705	0.095	0.616	0.794
15.907	0.734	0.079	0.660	0.808
16.340	0.761	0.057	0.707	0.814
16.805	0.751	0.048	0.707	0.795
17.304	0.794	0.042	0.755	0.833
17.839	0.836	0.036	0.803	0.869
18.414	0.890	0.035	0.858	0.922
19.031	0.922	0.034	0.892	0.952
19.693	0.876	0.031	0.848	0.904
20.404	0.956	0.029	0.931	0.982
21.167	0.957	0.028	0.933	0.982
21.986	0.963	0.029	0.939	0.987
22.865	1.013	0.028	0.990	1.036
23.808	1.016	0.029	0.993	1.038
24.821	1.061	0.029	1.039	1.083
25.907	1.054	0.030	1.033	1.075
27.074	1.064	0.031	1.044	1.085
28.326	0.963	0.029	0.946	0.980
29.669	1.069	0.032	1.053	1.084
31.112	1.054	0.033	1.042	1.066
32.660	1.065	0.034	1.059	1.072
34.321	1.080	0.036	1.080	1.080
36.104	1.097	0.039	1.100	1.094
38.019	1.090	0.041	1.097	1.084
40.073	1.076	0.044	1.086	1.066
42.278	1.044	0.048	1.059	1.029
44.645	1.067	0.054	1.087	1.046
47.185	1.086	0.060	1.112	1.059
49.912	1.081	0.066	1.115	1.047
52.839	1.123	0.073	1.165	1.081
55.980	1.129	0.090	1.186	1.072
59.351	1.105	0.113	1.182	1.027
62.970	1.104	0.109	1.184	1.024
66.854	1.245	0.135	1.350	1.141
71.023	1.014	0.145	1.132	0.896
75.497	0.922	0.155	1.054	0.791
80.300	1.263	0.201	1.439	1.086
85.455	1.038	0.217	1.233	0.842
90.987	1.393	0.285	1.656	1.130
96.926	1.200	0.183	1.372	1.027
