#pt	w	w_err	wUp	wDown
18.302	0.652	0.100	0.556	0.747
18.919	0.771	0.080	0.696	0.846
19.565	0.859	0.063	0.800	0.919
20.241	0.797	0.047	0.753	0.841
20.948	0.982	0.045	0.940	1.024
21.688	0.880	0.037	0.846	0.915
22.462	0.939	0.034	0.908	0.970
23.272	0.952	0.031	0.924	0.979
24.120	0.977	0.030	0.951	1.004
25.008	0.913	0.026	0.890	0.937
25.936	0.955	0.026	0.932	0.977
26.907	0.962	0.025	0.941	0.983
27.924	0.948	0.024	0.928	0.968
28.988	0.978	0.024	0.958	0.997
30.101	0.949	0.023	0.931	0.968
31.265	1.015	0.024	0.996	1.033
32.484	0.982	0.024	0.965	0.999
33.760	1.003	0.024	0.987	1.020
35.094	1.009	0.025	0.994	1.024
36.491	0.986	0.025	0.972	0.999
37.952	1.005	0.025	0.993	1.016
39.481	1.002	0.027	0.994	1.011
41.081	1.013	0.028	1.007	1.018
42.755	1.003	0.028	1.003	1.004
44.507	1.060	0.030	1.062	1.058
46.340	1.042	0.031	1.046	1.038
48.258	1.059	0.033	1.065	1.053
50.266	1.063	0.035	1.071	1.055
52.366	0.983	0.035	0.993	0.973
54.564	1.105	0.040	1.119	1.091
56.864	1.068	0.041	1.084	1.052
59.271	1.068	0.045	1.088	1.048
61.789	1.139	0.049	1.164	1.115
64.424	1.074	0.051	1.102	1.046
67.182	1.154	0.057	1.188	1.121
70.067	1.081	0.060	1.119	1.043
73.086	0.994	0.061	1.035	0.954
76.246	1.041	0.066	1.088	0.995
79.551	1.329	0.082	1.390	1.269
83.011	1.090	0.082	1.153	1.027
86.631	1.061	0.086	1.130	0.993
90.419	1.129	0.097	1.210	1.049
94.382	1.152	0.102	1.239	1.066
98.530	1.233	0.126	1.342	1.124
102.870	1.277	0.140	1.402	1.153
107.411	1.261	0.147	1.394	1.129
112.163	1.096	0.153	1.237	0.955
117.136	1.061	0.159	1.210	0.912
122.339	1.219	0.087	1.302	1.137
