#pt	w	w_err	wUp	wDown
12.231	0.618	0.251	0.380	0.856
12.709	0.716	0.135	0.589	0.844
13.219	0.914	0.097	0.823	1.005
13.763	0.866	0.067	0.803	0.928
14.342	0.924	0.055	0.873	0.975
14.960	0.862	0.045	0.821	0.903
15.618	0.939	0.040	0.902	0.976
16.320	0.902	0.037	0.869	0.935
17.068	0.946	0.036	0.915	0.978
17.866	0.956	0.036	0.924	0.988
18.717	1.025	0.037	0.994	1.057
19.624	1.004	0.037	0.973	1.034
20.590	1.049	0.037	1.019	1.079
21.621	1.010	0.038	0.980	1.039
22.720	0.983	0.038	0.956	1.010
23.892	0.979	0.039	0.953	1.005
25.141	1.081	0.043	1.056	1.106
26.472	1.065	0.045	1.043	1.087
27.892	1.009	0.045	0.993	1.025
29.405	1.010	0.048	1.001	1.018
31.019	1.081	0.052	1.082	1.080
32.739	1.012	0.057	1.018	1.007
34.573	1.096	0.064	1.108	1.085
36.528	1.060	0.069	1.078	1.042
38.612	1.022	0.075	1.047	0.997
40.834	1.020	0.088	1.055	0.984
43.203	1.336	0.106	1.386	1.286
45.729	1.131	0.107	1.188	1.074
48.422	1.091	0.122	1.164	1.019
51.293	1.189	0.147	1.284	1.094
54.353	1.090	0.156	1.198	0.981
57.616	0.961	0.165	1.084	0.839
61.095	1.087	0.213	1.254	0.919
64.803	0.933	0.215	1.110	0.756
68.757	0.828	0.228	1.023	0.633
72.972	1.489	0.392	1.834	1.144
77.466	1.468	0.385	1.816	1.119
82.257	1.385	0.455	1.807	0.964
87.364	1.813	0.342	2.136	1.490
